"","years","first","last","n_days"
"1",1982,178,283,82
"2",1983,165,289,100
"3",1984,167,303,85
"4",1985,169,292,89
"5",1986,159,283,78
"6",1987,171,276,83
"7",1988,174,281,91
"8",1989,167,280,97
"9",1990,171,295,103
"10",1991,153,289,91
"11",1992,179,278,78
"12",1993,168,283,96
"13",1994,164,275,84
"14",1995,175,297,103
"15",1996,166,276,63
"16",1997,173,286,95
"17",1998,169,284,89
"18",1999,159,293,111
"19",2000,169,282,93
"20",2001,162,280,108
"21",2002,170,292,111
"22",2003,176,288,106
"23",2004,169,286,93
"24",2005,164,293,107
"25",2006,172,287,103
"26",2007,177,299,99
"27",2008,161,291,100
"28",2009,170,285,95
"29",2010,156,287,108
"30",2011,150,295,111
"31",2012,149,294,114
"32",2013,173,295,109
"33",2014,160,298,121
"34",2015,150,291,105
"35",2016,171,297,115
"36",2017,168,303,118
"37",2018,166,293,111
"38",2019,168,291,107
"39",2020,173,304,113
"40",2021,158,301,132
