"","years","first","last","n_days"
"1",1982,178,282,62
"2",1983,166,289,76
"3",1984,170,275,78
"4",1985,171,290,80
"5",1986,167,281,47
"6",1987,173,275,74
"7",1988,175,279,81
"8",1989,169,277,78
"9",1990,172,294,78
"10",1991,154,283,81
"11",1992,181,274,68
"12",1993,170,282,76
"13",1994,165,274,70
"14",1995,176,296,78
"15",1996,167,276,36
"16",1997,173,284,87
"17",1998,172,279,78
"18",1999,174,292,101
"19",2000,174,281,85
"20",2001,163,279,97
"21",2002,172,289,102
"22",2003,177,287,96
"23",2004,170,284,80
"24",2005,164,290,99
"25",2006,172,286,90
"26",2007,178,298,81
"27",2008,162,287,85
"28",2009,171,284,73
"29",2010,156,285,106
"30",2011,151,293,98
"31",2012,150,291,110
"32",2013,174,291,95
"33",2014,168,296,106
"34",2015,165,290,97
"35",2016,172,296,105
"36",2017,169,300,102
"37",2018,168,293,106
"38",2019,170,290,100
"39",2020,173,299,106
"40",2021,161,301,125
